IoU_Threshold,Recall,Precision,F1_Score,True_Positive_Count,False_Positive_Count,False_Negative_Count
0.1,0.9719620688764123,0.9203262880093608,0.945357085641764,331.6,29.1,9.5
0.12,0.9719620688764123,0.9203262880093608,0.945357085641764,331.6,29.1,9.5
0.14,0.9719620688764123,0.9203262880093608,0.945357085641764,331.6,29.1,9.5
0.16,0.9719620688764123,0.9203262880093608,0.945357085641764,331.6,29.1,9.5
0.18,0.9719620688764123,0.9203262880093608,0.945357085641764,331.6,29.1,9.5
0.2,0.9719620688764123,0.9203262880093608,0.945357085641764,331.6,29.1,9.5
0.22,0.9719620688764123,0.9203262880093608,0.945357085641764,331.6,29.1,9.5
0.24,0.9714176244319679,0.919815871342694,0.944830203921334,331.4,29.3,9.7
0.26,0.9711127463831876,0.9195357592978761,0.9445382331184142,331.3,29.4,9.8
0.28,0.9708460797165209,0.91928513273146,0.9442798351855977,331.2,29.5,9.9
0.3,0.9708460797165209,0.91928513273146,0.9442798351855977,331.2,29.5,9.9
0.32,0.9702306717957475,0.9187011799250767,0.943680567773176,331.0,29.7,10.1
0.34,0.9690334887378738,0.9175635435779702,0.942513981269637,330.6,30.1,10.5
0.36,0.9682322042360006,0.9168100196859144,0.9417373122488832,330.3,30.4,10.8
0.38,0.9665187569336002,0.9151935167302996,0.9400737638302653,329.7,31.0,11.4
0.4,0.96480875151604,0.9135822701276046,0.9384146166899197,329.1,31.6,12.0
0.42,0.9636436307586889,0.9124787866948575,0.9372811591754985,328.7,32.0,12.4
0.44,0.9616538684439441,0.9105864962974195,0.93534148517101,328.0,32.7,13.1
0.46,0.9580029100959584,0.907091314419279,0.9317703791378138,326.8,33.9,14.3
0.48,0.9558266389937978,0.9050505424302375,0.9296640797212893,326.0,34.7,15.1
0.5,0.9511922819714727,0.9006706344487858,0.925160828038363,324.4,36.3,16.7
0.52,0.9458004767486419,0.895563608958654,0.9199159754611415,322.6,38.1,18.5
