IoU_Threshold,Recall,Precision,F1_Score,True_Positive_Count,False_Positive_Count,False_Negative_Count
0.1,0.9747664155326762,0.9211591815870293,0.9470569554376516,332.3,28.5,8.8
0.12,0.9744615374838957,0.920870997148989,0.9467606591413553,332.2,28.6,8.9
0.14,0.9744615374838957,0.920870997148989,0.9467606591413553,332.2,28.6,8.9
0.16,0.974154789017638,0.9205688823453636,0.9464562451383112,332.1,28.7,9.0
0.18,0.974154789017638,0.9205688823453636,0.9464562451383112,332.1,28.7,9.0
0.2,0.974154789017638,0.9205688823453636,0.9464562451383112,332.1,28.7,9.0
0.22,0.973545032920077,0.919992513469283,0.9458636525457186,331.9,28.9,9.2
0.24,0.973545032920077,0.919992513469283,0.9458636525457186,331.9,28.9,9.2
0.26,0.9732672551422994,0.9197327732095426,0.9455951961698796,331.8,29.0,9.3
0.28,0.9730233527032748,0.9194958063848981,0.9453548115544951,331.7,29.1,9.4
0.3,0.9727184746544945,0.9192076219468577,0.9450585152581988,331.6,29.2,9.5
0.32,0.9727184746544945,0.9192076219468577,0.9450585152581988,331.6,29.2,9.5
0.34,0.9724406968767166,0.9189478816871175,0.9447900588823599,331.5,29.3,9.6
0.36,0.9721967944376922,0.918710914862473,0.9445496742669752,331.4,29.4,9.7
0.38,0.970494458246403,0.9171136482243212,0.9429018137404708,330.8,30.0,10.3
0.4,0.9682606534193265,0.9150089642716168,0.9407348153373227,330.0,30.8,11.1
0.42,0.967264441943924,0.9140831653806318,0.9397751530143308,329.7,31.1,11.4
0.44,0.9656284294734967,0.9125601610264846,0.9381978387005059,329.2,31.6,11.9
0.46,0.9624343088879185,0.9095340285083537,0.9350906498179519,328.1,32.7,13.0
0.48,0.9591579724492499,0.9064176621572486,0.9318963749186887,327.0,33.8,14.1
0.5,0.9550055897683801,0.9024704122002498,0.9278500138374108,325.6,35.2,15.5
0.52,0.9508766352492681,0.898580595894672,0.923844781429427,324.2,36.6,16.9
