IoU_Threshold,Recall,Precision,F1_Score,True_Positive_Count,False_Positive_Count,False_Negative_Count
0.1,0.9446977093704417,0.9639478494229305,0.9541471475336429,322.0,12.2,19.1
0.12,0.9446977093704417,0.9639478494229305,0.9541471475336429,322.0,12.2,19.1
0.14,0.9444310427037751,0.9636839971801866,0.953881895544253,321.9,12.3,19.2
0.16,0.9440579083754169,0.9633136268098161,0.953510148332357,321.8,12.4,19.3
0.18,0.9437444287515925,0.962984679441395,0.9531891210450377,321.7,12.5,19.4
0.2,0.9437444287515925,0.962984679441395,0.9531891210450377,321.7,12.5,19.4
0.22,0.9435005263125682,0.9627321541888698,0.9529409820872212,321.6,12.6,19.5
0.24,0.9435005263125682,0.9627321541888698,0.9529409820872212,321.6,12.6,19.5
0.26,0.9435005263125682,0.9627321541888698,0.9529409820872212,321.6,12.6,19.5
0.28,0.9435005263125682,0.9627321541888698,0.9529409820872212,321.6,12.6,19.5
0.3,0.9431909287893483,0.9624186745650454,0.9526294556074705,321.5,12.7,19.6
0.32,0.9425793022743101,0.9617926581455849,0.9520107213091095,321.3,12.9,19.8
0.34,0.9422658226504856,0.9614637107771639,0.95168969402179,321.2,13.0,19.9
0.36,0.9416933455862655,0.9608844011211707,0.951113883026189,321.0,13.2,20.1
0.38,0.9405711556854672,0.9597371087994029,0.9499793740665604,320.6,13.6,20.5
0.4,0.9394640607860406,0.9585876535126822,0.948851509857397,320.2,14.0,20.9
0.42,0.9365345482987288,0.9556002958323067,0.9458936214579113,319.2,15.0,21.9
0.44,0.9347703041489106,0.9537858926661865,0.9441047241224677,318.6,15.6,22.5
0.46,0.9318329256707341,0.9508152519376954,0.9411511681323137,317.6,16.6,23.5
0.48,0.929478285361849,0.9484210253629964,0.9387770712310722,316.8,17.4,24.3
0.5,0.9258699585689742,0.9447385699315227,0.935132235369716,315.6,18.6,25.5
0.52,0.9219933419827548,0.9407990948006766,0.9312248076465135,314.3,19.9,26.8
