IoU_Threshold,Recall,Precision,F1_Score,True_Positive_Count,False_Positive_Count,False_Negative_Count
0.1,0.943473671143398,0.9665071966086538,0.9547106396858244,321.5,11.3,19.6
0.12,0.943473671143398,0.9665071966086538,0.9547106396858244,321.5,11.3,19.6
0.14,0.943473671143398,0.9665071966086538,0.9547106396858244,321.5,11.3,19.6
0.16,0.942963102037707,0.9659863597431695,0.9541952749815037,321.3,11.5,19.8
0.18,0.942963102037707,0.9659863597431695,0.9541952749815037,321.3,11.5,19.8
0.2,0.942963102037707,0.9659863597431695,0.9541952749815037,321.3,11.5,19.8
0.22,0.9426582239889264,0.9656814816943889,0.9538903969327232,321.2,11.6,19.9
0.24,0.9426582239889264,0.9656814816943889,0.9538903969327232,321.2,11.6,19.9
0.26,0.9426582239889264,0.9656814816943889,0.9538903969327232,321.2,11.6,19.9
0.28,0.9426582239889264,0.9656814816943889,0.9538903969327232,321.2,11.6,19.9
0.3,0.942353345940146,0.9653766036456084,0.9535855188839427,321.1,11.7,20.0
0.32,0.942353345940146,0.9653766036456084,0.9535855188839427,321.1,11.7,20.0
0.34,0.9420755681623681,0.965087586304568,0.9533022327649625,321.0,11.8,20.1
0.36,0.9420755681623681,0.965087586304568,0.9533022327649625,321.0,11.8,20.1
0.38,0.9403732319710789,0.963356637469478,0.9515861687713183,320.4,12.4,20.7
0.4,0.9386499962496935,0.9616321627571983,0.949862530627497,319.8,13.0,21.3
0.42,0.937723361959091,0.9606734589801971,0.9489202395037655,319.5,13.3,21.6
0.44,0.9357824714398832,0.9586925939024692,0.9469596390504023,318.9,13.9,22.2
0.46,0.9331380636908829,0.9560136343247756,0.9442985290214349,318.0,14.8,23.1
0.48,0.9298617272522144,0.9526478047277592,0.9409783324909105,316.9,15.9,24.2
0.5,0.9257121936283067,0.9483678583052374,0.9367650875452018,315.5,17.3,25.6
0.52,0.9218967187330194,0.9444723910360535,0.9329106154802431,314.2,18.6,26.9
